Fund,Department,Division,Account,Amount,Annotation
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Contracted Services,23735.53, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Services - Outside Printing,316.04999999999995, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Rental/Lease,1350.0, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Materials,-23.480000000000018, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Rental/Lease - Computers,219.73000000000002, 
General Fund,Planning & Development Dept,Community Development Division,Fleet Fuel Charges,365.0, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Services - Copying and Dupl,680.13, 
General Fund,Planning & Development Dept,Community Development Division,Fleet Maintenance Charges,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Services - Advertising,56.39999999999998, 
General Fund,Information Technology Dept.,IT Administration Division,Compensation - Temp/Seasonal,-17779.9, 
General Fund,Information Technology Dept.,IT Administration Division,Compensation - Overtime,-175.01, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Supplies - Other,6191.64, 
General Fund,Planning & Development Dept,Community Development Division,Community Arts Council,0.0, 
General Fund,Planning & Development Dept,Community Development Division,Community Relations Council,8591.11, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Supplies - Uniforms,0.0, 
General Fund,Human Resources Department,Organizational Development,Telephone,250.0, 
General Fund,Administration Services Dept,City Hall Operations,Services - Copying and Dupl,0.0, 
General Fund,Planning & Development Dept,Community Development Division,Sister Cities,0.0, 
General Fund,Finance Department,Purchasing Central Stores,Mach & Equipment,0.0, 
General Fund,Planning & Development Dept,Community Development Division,One Youth at a Time,1240.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Employer - 401(K),-3292.2000000000007, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Employer - 401(K),591.1400000000001, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,FICA Tax Expense,1019.81, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Employer - LGERS,755.9899999999998, 
General Fund,Information Technology Dept.,IT Administration Division,Quality of Serv Award,-6831.17, 
General Fund,Public Works Department,Streets & Sidewalks Division,FICA Tax Expense,-4301.48, 
General Fund,Public Works Department,Streets & Sidewalks Division,Employer - LGERS,-4220.0999999999985, 
General Fund,Planning & Development Dept,Community Development Division,AHOPE,10000.0, 
General Fund,Planning & Development Dept,Community Development Division,Education Coalition,0.0, 
General Fund,Planning & Development Dept,Community Development Division,United Way 211,2500.0, 
General Fund,Planning & Development Dept,Community Development Division,Visitor's Center,0.0, 
General Fund,Planning & Development Dept,Community Development Division,Economic Development Comm,20000.0, 
General Fund,Planning & Development Dept,Community Development Division,YWCA,6000.0, 
General Fund,Planning & Development Dept,Community Development Division,Kids Voting,-1000.0, 
General Fund,Planning & Development Dept,Community Development Division,Asheville Art Museum,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Sponsorships,37140.45, 
General Fund,Public Works Department,Streets & Sidewalks Division,Group Insurance Expense,-21158.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Admission Fees,13637.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Group Insurance Expense,4450.0, 
General Fund,Planning & Development Dept,Community Development Division,Asheville Greenworks,0.0, 
General Fund,Planning & Development Dept,Community Development Division,Children First,-2060.0, 
Stormwater Fund,Public Works Department,CAFR Preparation,Bad Debts,-85160.37, 
General Fund,Administration Services Dept,Community Relations,Licenses Taxes & Fees,0.0, 
General Fund,Information Technology Dept.,Technical Services Division,Mach & Equipment,31219.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Purchases for Resale,-3217.72, 
General Fund,Administration Services Dept,Community Relations,Mileage Reimbursement,-97.24000000000001, 
General Fund,Police Department,Police Administration Division,Radio Charges,0.0, 
General Fund,Finance Department,Budget Division,Employer - 401(K),481.89999999999964, 
General Fund,Police Department,Police Administration Division,Cellular Usage,-11745.869999999995, 
General Fund,Police Department,Police Administration Division,Radio Lines,0.0, 
General Fund,Police Department,Police Administration Division,Electricity,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Child Care Fees,0.0, 
General Fund,Administration Services Dept,Community Relations,Contracted Services,12996.52, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Dues & Subscriptions,-160.86, 
General Fund,Finance Department,Budget Division,Employer - LGERS,379.2099999999991, 
General Fund,Administration Services Dept,Community Relations,Professional Services,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Training,526.31, 
General Fund,Finance Department,Budget Division,FICA Tax Expense,1493.7900000000009, 
General Fund,Administration Services Dept,Community Relations,Rental/Lease,0.0, 
General Fund,Police Department,Police Administration Division,Telephone,0.0, 
General Fund,Planning & Development Dept,Historic Resources Division,Cellular Usage,54.22000000000003, 
General Fund,Planning & Development Dept,Historic Resources Division,Long Distance,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Rental/Lease,200.0, 
General Fund,Planning & Development Dept,Historic Resources Division,Telephone,-61.670000000000016, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Services - Copying and Dupl,360.0, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Information Technology Charges,0.0, 
General Fund,Administration Services Dept,Building Maintenance,Supplies - Other,254.75, 
General Fund,Administration Services Dept,Building Maintenance,Supplies - Safety Equipment,-1166.58, 
General Fund,Administration Services Dept,Building Maintenance,Supplies - Uniforms,-245.0, 
General Fund,Finance Department,Budget Division,Group Insurance Expense,-14198.0, 
General Fund,Police Department,Criminal Investigations Div,Lic & Permits Precious Metals,-117.75999999999999, 
General Fund,Transportation Department,Traffic Engineering Division,Transfer to Grant Fund,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Services - Postage,-146.61, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Contracted Services,-2042.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Professional Services,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Rental/Lease,0.0, 
General Fund,Finance Department,Finance Administration,ABC Revenue - Component Unit,70905.81000000006, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Rents - Parks Shelters,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Services - Advertising,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Supplies - Other,-2782.5, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Rental/Lease - Computers,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Services - Janitorial,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Services - Copying and Dupl,0.0, 
General Fund,Information Technology Dept.,IT Support Services Division,Propane,5000.0, 
General Fund,Administration Services Dept,Community Relations,Contracted Services,25015.059999999998, 
General Fund,Administration Services Dept,Administration,Compensation - Full Time Reg,0.0, 
General Fund,Public Works Department,Engineering Services Division,Maint & Repair - Equipment,0.0, 
General Fund,Transportation Department,Traffic Engineering Division,Lic. & Prmt - Permit Violation,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Sales Tax-Non Refundable,-4.5, 
General Fund,Transportation Department,Traffic Engineering Division,Supplies - Uniforms,54.549999999999955, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,FICA Tax Expense,271.35, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Employer - LGERS,652.34, 
General Fund,Transportation Department,Traffic Engineering Division,Supplies - Safety Equipment,122.11000000000001, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Motor Pool Charges,0.0, 
General Fund,Transportation Department,Traffic Engineering Division,Supplies - Books/Audio Visual,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Employer - 401(K),511.86, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Fleet Maintenance Charges,0.0, 
General Fund,Information Technology Dept.,IT Support Services Division,Telephone,17378.0, 
General Fund,Information Technology Dept.,IT Support Services Division,Radio Lines,12480.0, 
General Fund,Information Technology Dept.,IT Support Services Division,Electricity,12000.0, 
General Fund,Information Technology Dept.,IT Support Services Division,Cellular Usage,5776.0, 
General Fund,Information Technology Dept.,IT Support Services Division,Long Distance,4000.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Fines & Fees Non Resid Entry,675.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Class Participation Fees,450.0, 
General Fund,Fire & Rescue Department,Emergency Response Division,NCDEM Equipment Reimbursement,520.74, 
General Fund,Fire & Rescue Department,Emergency Response Division,NCDEM Response Reimbursement,29709.16, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Fleet Maintenance Charges,4253.24, 
General Fund,Fire & Rescue Department,Emergency Response Division,NCDEM Training Reimbursement,0.0, 
General Fund,Information Technology Dept.,Information Services,Other Miscellaneous Revenue,0.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Contra Fringe Benefits,3724.89, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Fleet Fuel Charges,45.789999999999964, 
General Fund,Fire & Rescue Department,Fire Support Services Division,Employer - 401(K),1375.9099999999999, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Motor Pool Charges,0.0, 
General Fund,Fire & Rescue Department,Fire Support Services Division,Employer - 401(A),962.6000000000004, 
General Fund,Fire & Rescue Department,Fire Support Services Division,Supplemental Disability,5098.0, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,Contracted Services,-10709.880000000005, 
General Fund,Administration Services Dept,Governing Body Division,Maint & Repair - Equipment,0.0, 
General Fund,Fire & Rescue Department,Fire Support Services Division,Employer - LGERS,1579.8300000000017, 
General Fund,Transportation Department,Traffic Engineering Division,Maintenance and Repairs,500.0, 
General Fund,Fire & Rescue Department,Fire Support Services Division,FICA Tax Expense,699.8199999999997, 
General Fund,Fire & Rescue Department,Emergency Response Division,Training,-13318.800000000003, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Other Capital Outlay,0.0, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Construction,0.0, 
Stormwater Fund,Public Works Department,CAFR Preparation,Mach & Equipment,281301.0, 
General Fund,Fire & Rescue Department,Fire Support Services Division,Firefighter Pension,8880.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Admission Fees,0.0, 
General Fund,Fire & Rescue Department,Fire Support Services Division,Group Insurance Expense,27139.0, 
General Fund,Fire & Rescue Department,Fire Support Services Division,Vehicle Allowance,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Materials,5750.0, 
General Fund,Fire & Rescue Department,Fire Support Services Division,Unemployment,0.0, 
General Fund,Fire & Rescue Department,Fire Support Services Division,Workers Compensation,4127.0, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Rental/Lease,1750.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Oth Loc Partic Group Applicat,-250.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Supplies - Uniforms,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Contracted Services,4500.0, 
General Fund,Planning & Development Dept,Community Development Division,License&Permits Sign Permit,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Supplies - Other,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,Supplies - Other,-24328.29, 
General Fund,Public Works Department,Streets & Sidewalks Division,Other Miscellaneous Revenue,381.4, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Supplies - Other,-5726.3099999999995, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Services - Copying and Dupl,0.0, 
General Fund,Fire & Rescue Department,Fire Support Services Division,OPEB Pension Contributions,0.0, 
General Fund,Public Works Department,Engineering Services Division,Materials - Sidewalks,-5804.91, 
General Fund,Public Works Department,Engineering Services Division,Materials,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Compensation - Full Time Reg,-60007.850000000006, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Compensation - Overtime,123.86, 
General Fund,Planning & Development Dept,Planning Services Division,Mileage Reimbursement,362.39, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Compensation - Temp/Seasonal,3487.699999999997, 
General Fund,Human Resources Department,Human Resources Administration,Bad Debts,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Dues & Subscriptions,0.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Maint & Repair - Equipment,543.22, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Training,0.0, 
General Fund,Information Technology Dept.,Information Services,Other Capital Outlay,0.0, 
General Fund,Fire & Rescue Department,Fire Marshals Office Division,Supplies - Other,1379.96, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,Supplies - Uniforms,97.10000000000036, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Cellular Usage,-168.17000000000002, 
General Fund,Public Works Department,Engineering Services Division,Compensation - Full Time Reg,0.0, 
General Fund,Finance Department,Accounting Division,State Beer & Wine Taxes,3888.0999999999767, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,Supplies - Safety Equipment,2409.99, 
General Fund,Public Works Department,Engineering Services Division,Compensation - Overtime,0.0, 
General Fund,Public Works Department,Engineering Services Division,Compensation - Stand By Pay,0.0, 
General Fund,Fire & Rescue Department,Fire Marshals Office Division,Supplies - Books/Audio Visual,-1225.67, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Group Insurance Expense,653.0, 
General Fund,Transportation Department,Traffic Engineering Division,Contracted Services,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Planning & Development Div,Motor Pool Charges,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Planning & Development Div,Fleet Maintenance Charges,0.0, 
General Fund,Administration Services Dept,Sustainability Division,Services - Copying and Dupl,0.0, 
General Fund,Administration Services Dept,Sustainability Division,Services - Outside Printing,-8443.25, 
General Fund,Finance Department,Finance Administration,Loc Opt Sales Tx 1/2 Ct 1983,-127955.0, 
General Fund,Transportation Department,Traffic Engineering Division,Supplies - Other,-2373.91, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Restrictd Intergv State Grants,8288.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Services - Copying and Dupl,100.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Services - Advertising,60.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Tipping Fees,-3628.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Professional Services,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Contracted Services,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Rental/Lease,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Class Participation Fees,715.3499999999999, 
General Fund,Police Department,Patrol Division,Dues & Subscriptions,-195.0, 
General Fund,Police Department,Patrol Division,Training,-63.42, 
General Fund,Transportation Department,Traffic Engineering Division,Cellular Usage,-153.8499999999999, 
General Fund,Transportation Department,Traffic Engineering Division,Telephone,16.0, 
General Fund,Planning & Development Dept,Planning Services Division,Contingencies,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Rental/Lease,1340.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Professional Services,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Contracted Services,7347.0, 
General Fund,Planning & Development Dept,Historic Resources Division,Bunc C Part - Historic Res Com,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Group Insurance Expense,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Services - Copying and Dupl,-231.44, 
General Fund,Police Department,Police Administration Division,Fringe Ben - Housing Allowance,2000.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Overages & Shortages,0.0, 
General Fund,Police Department,Police Administration Division,OPEB Pension Contributions,0.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Employer - 401(K),787.1400000000003, 
General Fund,Transportation Department,Traffic Engineering Division,Cost Transfers,0.0, 
General Fund,Administration Services Dept,Community Relations,Training,1556.68, 
General Fund,Public Works Department,Streets & Sidewalks Division,FICA Tax Expense,1171.75, 
General Fund,Administration Services Dept,Community Relations,Dues & Subscriptions,3389.16, 
General Fund,Public Works Department,Streets & Sidewalks Division,Employer - LGERS,953.9200000000001, 
General Fund,Administration Services Dept,City Hall Operations,Supplies - Uniforms,1287.05, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Employer - 401(K),-559.5999999999999, 
General Fund,Administration Services Dept,City Hall Operations,Services - Postage,19526.600000000006, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,FICA Tax Expense,-1633.08, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Private Donations - Restricted,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Employer - LGERS,-723.0799999999999, 
General Fund,Administration Services Dept,City Hall Operations,Supplies - Other,944.7199999999993, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Mileage Reimbursement,0.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Contra Non-Labor - FEMA,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Licenses Taxes & Fees,-25.0, 
General Fund,Police Department,Police Administration Division,Unemployment,0.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Contra Non-Labor,265749.67, 
General Fund,Police Department,Police Administration Division,Workers Compensation,40303.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Contra Non-Labor - Powell Bill,-678961.0, 
General Fund,Planning & Development Dept,Planning Services Division,Training,-3425.3500000000004, 
General Fund,Planning & Development Dept,Planning Services Division,Dues & Subscriptions,947.94, 
General Fund,Police Department,Police Administration Division,Group Insurance Expense,0.0, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Contra Salaries and Wages FEMA,0.0, 
General Fund,Police Department,Police Administration Division,Phone Allowance,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,Contra Salaries and Wages FEMA,0.0, 
General Fund,Administration Services Dept,Fleet Management Division,Cost Transfers,302606.1599999999, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Rents - Rental Income,-9000.0, 
General Fund,Fire & Rescue Department,Fire Marshals Office Division,Compensation - Stand By Pay,618.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Group Insurance Expense,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Rents - Parks Shelters,3000.0, 
General Fund,Non-Departmental Department,Non-Divisional,Employer - LGERS,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Supplies - Other,-160.12, 
General Fund,Non-Departmental Department,Non-Divisional,FICA Tax Expense,0.0, 
General Fund,Public Works Department,Street Lighting Division,Street Light Removal,1165.42, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Training,500.0, 
General Fund,Fire & Rescue Department,Fire Support Services Division,Training,1276.1599999999999, 
General Fund,Fire & Rescue Department,Fire Support Services Division,Dues & Subscriptions,-6609.41, 
General Fund,Non-Departmental Department,Non-Divisional,Employer - 401(K),0.0, 
General Fund,Non-Departmental Department,Non-Divisional,Group Disability,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Dues & Subscriptions,375.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Employer - 401(K),-4734.41, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Contracted Services,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Professional Services,0.0, 
General Fund,Building Safety Department,Permitting & Inspections Div,Insurance & Bonds,-237.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Rental/Lease,-46.72, 
General Fund,Public Works Department,Engineering Services Division,Contracted Services,-32405.230000000003, 
General Fund,Public Works Department,Engineering Services Division,Professional Services,-3636.75, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Services - Advertising,70.0, 
General Fund,Public Works Department,Engineering Services Division,Rental/Lease,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Services - Copying and Dupl,200.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Sales and Services,-3529.9799999999996, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,FICA Tax Expense,-6441.07, 
General Fund,Administration Services Dept,Community Relations,Restrictd Intergv Otr Loc Part,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Employer - LGERS,-6504.75, 
General Fund,Public Works Department,Engineering Services Division,Services - Copying and Dupl,-847.0, 
General Fund,Public Works Department,Engineering Services Division,Services - Advertising,0.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Supplies - Uniforms,-2228.6499999999996, 
General Fund,Public Works Department,Streets & Sidewalks Division,Supplies - Safety Equipment,-1151.5, 
General Fund,Public Works Department,Streets & Sidewalks Division,Supplies - Other,-533.7199999999993, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Dues & Subscriptions,132.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Telephone,-192.0, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Telephone,272.0, 
General Fund,Legal Department,Legal Division,Maintenance and Repairs,0.0, 
General Fund,Administration Services Dept,Community Relations,Materials,0.0, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Cellular Usage,5523.81, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Training,-70.34000000000015, 
General Fund,Public Works Department,Public Works Administration,FICA Tax Expense,1498.67, 
General Fund,Public Works Department,Public Works Administration,Employer - LGERS,1308.08, 
General Fund,Public Works Department,Public Works Administration,Employer - 401(K),996.3900000000001, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Administration Division,Supplies - Other,-11405.21, 
General Fund,Information Technology Dept.,IT Administration Division,Materials,883.06, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Administration Division,Services - Postage,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Water,0.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Materials,-12960.52, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Natural Gas,0.0, 
General Fund,Public Works Department,Public Works Administration,Charges to Other Funds,18750.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Group Insurance Expense,0.0, 
General Fund,Finance Department,Accounting Division,Mark to Market - Investments,0.0, 
General Fund,Finance Department,Accounting Division,Income from Investments,-82453.51000000001, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Cellular Usage,-148.69, 
General Fund,Public Works Department,Public Works Administration,Group Insurance Expense,2557.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Electricity,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Water and Sewer,0.0, 
General Fund,Fire & Rescue Department,Fire Support Services Division,Lic. & Permits - Permit Fees,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Compensation - Temp/Seasonal,-251.45, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Compensation - Overtime,-8.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Compensation - Full Time Reg,64557.37, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Compensation - Part Time,-6243.560000000001, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Refunds,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,FICA Tax Expense,-5899.5599999999995, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Employer - LGERS,-1239.8599999999997, 
General Fund,Administration Services Dept,Governing Body Division,Training,-2436.119999999999, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Employer - 401(K),-935.4099999999999, 
General Fund,Public Works Department,Engineering Services Division,Motor Pool Charges,0.0, 
General Fund,Public Works Department,Engineering Services Division,Fleet Maintenance Charges,-11359.419999999998, 
General Fund,Administration Services Dept,Governing Body Division,Dues & Subscriptions,-175.14999999999998, 
General Fund,Public Works Department,Engineering Services Division,Fleet Fuel Charges,1259.5499999999993, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Supplies - Other,-849.3800000000001, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Sewer,0.0, 
General Fund,Administration Services Dept,Building Maintenance,Contra Fleet Charges,0.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Materials,-9279.35, 
General Fund,Public Works Department,Streets & Sidewalks Division,Licenses Taxes & Fees,14.0, 
General Fund,Administration Services Dept,Fleet Management Division,Sales and Services,0.0, 
General Fund,Economic Development Departmen,Economic Development Division,Applications Fees,0.0, 
General Fund,Human Resources Department,Health Clinic Services,Dues & Subscriptions,0.0, 
General Fund,Police Department,Patrol Division,Oth Loc Partic Ashe Hsng Authr,-217000.0, 
General Fund,Human Resources Department,Health Clinic Services,Training,-108.58, 
General Fund,Non-Departmental Department,Non-Divisional,Professional Services,0.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Group Insurance Expense,10085.0, 
General Fund,Non-Departmental Department,Non-Divisional,Contracted Services,17053.15, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Contracted Services,21939.160000000003, 
General Fund,Human Resources Department,Health Clinic Services,Compensation - Temp/Seasonal,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Restrictd Intergv State Grants,-581.0, 
General Fund,Human Resources Department,Health Clinic Services,Compensation - Overtime,0.0, 
General Fund,Human Resources Department,Health Clinic Services,Compensation - Full Time Reg,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Services - Janitorial,0.0, 
General Fund,Non-Departmental Department,Non-Divisional,Services - Advertising,0.0, 
General Fund,Human Resources Department,Health Clinic Services,Compensation - Part Time,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Rental/Lease - Computers,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Services - Copying and Dupl,1072.88, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,Fines & Fees Interest - Late C,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Services - Advertising,0.0, 
General Fund,Administration Services Dept,Sustainability Division,Dues & Subscriptions,5409.0, 
General Fund,Administration Services Dept,Sustainability Division,Training,-176.95, 
General Fund,Non-Departmental Department,Non-Divisional,Legal Services,0.0, 
General Fund,Finance Department,Finance Administration,Vehicle Allowance,-9.289999999999964, 
General Fund,Information Technology Dept.,Technical Services Division,Installment Purch Premiums,32336.8, 
General Fund,Finance Department,Finance Administration,Group Insurance Expense,-5547.0, 
General Fund,Transportation Department,Transportation Planning Div,Group Insurance Expense,0.0, 
General Fund,Finance Department,Finance Administration,Workers Compensation,770.0, 
General Fund,Finance Department,Finance Administration,Unemployment,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Contracted Services,6605.130000000001, 
General Fund,Administration Services Dept,Community Relations,Sales and Services,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Professional Services,0.0, 
